Title,Topic,Link
اسلام آباد هاءِ ڪورٽ اليڪٽرانڪ ووٽنگ مشين جو استعمال روڪڻ جي درخواست رد ڪري ڇڏي,عدالتون,https://dailysobh.com/archives/76866
سنڌ هاءِ ڪورٽ پاران رينجرز اهلڪار جي قتل ڪيس ۾ جوابدار کي عمر قيد سزا,عدالتون,https://dailysobh.com/archives/76850
اسان ادارن وچ ۾ تڪرار ٻڌڻ نه پر قانوني مسئلا حل ڪرڻ لاءِ ويٺا آهيون: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/76837
چيف اليڪشن ڪمشنر  جي مقرري خلاف درخواست رد، آئيني ترميم چئلينج نٿي ڪري سگهجي: چيف جسٽس,عدالتون,https://dailysobh.com/archives/76799
سنڌ هاءِ ڪورٽ جو نيب پاران رولز بابت پيش ڪيل رپورٽ تي بي اعتمادي جو اظهار,عدالتون,https://dailysobh.com/archives/76776
سنڌ هاءِ ڪورٽ پاران جوابدار جي موت  واري سزا عمر قيد ۾ تبديل,عدالتون,https://dailysobh.com/archives/76774
سنڌ جي ايڊووڪيٽ جنرل کي اسپيشل ايجوڪيشن اسڪولن جو دورو ڪرڻ جو حڪم,عدالتون,https://dailysobh.com/archives/76769
معذور ڇوڪري کي سڃاڻپ ڪارڊ جاري نه ڪرڻ تي نادرا چيئرمين کي نوٽيس,عدالتون,https://dailysobh.com/archives/76767
ججز، بيوروڪريٽس ۽ سرڪاري ملازمن لاءِ پلاٽن جي قرعه اندازي معطل,عدالتون,https://dailysobh.com/archives/76609
چيف جسٽس پاران ججز مقرريءَ تي بار ڪائونسلز ۽ وڪيلن کي ڳالهين جي آڇ,عدالتون,https://dailysobh.com/archives/76599
مينار پاڪستان واقعي جا جوابدار گرفتار ٿي سگهن ٿا ته صحافين تي حملي جا جوابدار ڇو نه ٿا پڪڙجي سگهجن؟: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/76591
چيف اليڪشن ڪمشنر مقرري خلاف سپريم ڪورٽ ۾ درخواست ٻڌڻي لاءِ مقرر,عدالتون,https://dailysobh.com/archives/76390
ڏيپلو جي ناري ليلا ميگهواڙ جي خون سان انصاف، جوابدار کي 24 سال قيد ۽ 94 لک ڏنڊ جي سزا,عدالتون,https://dailysobh.com/archives/76298
سپريم ڪورٽ جي چيف جسٽس ۽ سينيئر وڪيل ۾ جملن جي ڏي وٺ,عدالتون,https://dailysobh.com/archives/76247
سپريم ڪورٽ ۾ ججن جي مقرري سينيارٽي بنياد تي ڪئي وڃي: وڪيل ڪنوينشن,عدالتون,https://dailysobh.com/archives/76176
جسٽس عائشه ملڪ سپريم ڪورٽ جي جج مقرر نه ٿي سگهي، جڊيشل ڪميشن ۾ اتفاق نه ٿيو,عدالتون,https://dailysobh.com/archives/76172
سنڌ هاءِ ڪورٽ ۾ کنڀي گم ڪيل شهرين جي بازيابي لاءِ درخواستن تي ٻڌڻي,عدالتون,https://dailysobh.com/archives/76156
سنڌ هاءِ ڪورٽ ۾ کنڀي گم ڪيل شهرين جي بازيابي لاءِ درخواستن تي ٻڌڻي,عدالتون,https://dailysobh.com/archives/76139
سنڌ هاءِ ڪورٽ پاران گم ٿيل شهرين جي ڪيس ۾ اختيارين کي نوٽيس,عدالتون,https://dailysobh.com/archives/76065
ٻيلن جي حفاظت لاءِ 2 ماڻهو ۽ ختم ڪرائڻ لاءِ لشڪر بيٺل آهن، سرڪاري پاليسيون ناڪام آهن:هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/76010
عوام مهانگائي سبب انتهائي تڪليف ۾ آهي، هڪ ماني جي قيمت ڪنٽرول نه ٿي ٿئي؟: عدالت,عدالتون,https://dailysobh.com/archives/75975
فواد چوڌري ۽ فردوس عاشق اعواڻ جا ڇو نه گرفتاري وارنٽ جاري ڪريون: پشاور هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/75857
سنڌ هاءِ ڪورٽ پاران 107 استادن کي ڀرتي ڪرڻ جو حڪم،3 سال رعايت ڏيڻ جي هدايت,عدالتون,https://dailysobh.com/archives/75819
شهباز شريف ۽ حمزه خلاف مالياتي اسڪينڊل، جاچ ۾ڪو حال ئي ناهي، ڪيس ڪيئن وڌندو؟عدالت,عدالتون,https://dailysobh.com/archives/75561
سپريم ڪورٽ ٻاهران برطرف ڪيل شخص پاران خودڪشي جي ڪوشش,عدالتون,https://dailysobh.com/archives/75471
ريلوي وزير جي صلاحڪار کي برطرف ڪرڻ جو حڪم، ان ڦر لٽ مچائي ڇڏي آهي: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/75451
سنڌ هاءِ ڪورٽ پاران او پي ايس تي مقرر جونيئر آفيسرن کي هٽائڻ جو حڪم,عدالتون,https://dailysobh.com/archives/75285
مريم نواز جي رويي تي عدالت کي ڪاوڙ،ڇو نه ضمانت درخواست رد ڪري ڇڏيون؟عدالت,عدالتون,https://dailysobh.com/archives/75269
مفاهمت ته ڇا حڪومت سان ڳالهائڻ به نه گهرجي، وقت ڪنهن ضايع ڪيو اهو قوم ڄاڻي ٿي: مريم نواز,عدالتون,https://dailysobh.com/archives/75227
پورهيتن جي 25 هزار پگهار مقرر ڪرڻ بابت درخواستون گڏ پيش ڪرڻ جو حڪم,عدالتون,https://dailysobh.com/archives/75153
نيب چيئرمين سپريم ڪورٽ احاطي ۾جوابدار جي گرفتاري جو نوٽيس ورتو,عدالتون,https://dailysobh.com/archives/75042
سپريم ڪورٽ جوا جو اڏو نه آهي جو ڪاهه ڪري ڏجي :وقتي چيف جسٽس,عدالتون,https://dailysobh.com/archives/75016
سپريم ڪورٽ پاران صحافين کي هراسان ڪرڻ خلاف درخواست ٻڌڻي لاءِ مقرر,عدالتون,https://dailysobh.com/archives/74757
سنڌ هاءِ ڪورٽ پاران گم ٿيل ماڻهن بابت پوليس رپورٽ تي بي اعتمادي,عدالتون,https://dailysobh.com/archives/74755
ججن، آفيسرن ۽ سول سرونٽس کي پلاٽن جي الاٽمينٽ غير قانوني قرار,عدالتون,https://dailysobh.com/archives/74744
پاڪستان کي گوانٽناموبي جيل نه بڻايو، گم ٿيل ماڻهن جو معاملو سنجيده آهي،رياست کي  ان جي لاءِ سخت قدم کڻڻا پوندا: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/74732
جسٽس قاضي فائز عيسيٰ جو پاڻمرادو نوٽيس خارج، ڪا بينچ  نوٽيس نٿي وٺي سگهي، سپريم ڪورٽ جو فيصلو جاري,عدالتون,https://dailysobh.com/archives/74634
سنڌ هاءِ ڪورٽ پاران کنڀي گم ڪيل ماڻهن کي بازياب ڪرائڻ جو حڪم,عدالتون,https://dailysobh.com/archives/74608
عدالتون ۽ اسپتالون ڪڏهن بند نٿيون ٿي سگهن: جسٽس صلاح الدين پنهور,عدالتون,https://dailysobh.com/archives/74579
سکر ٽول پلازه جي عملي پاران وڪيلن سان جهيڙو :سنڌ ۾ عدالتي ڪاررواين جو بائيڪاٽ,عدالتون,https://dailysobh.com/archives/74544
جسٽس قاضي فائز پاران پاڻمرادو نوٽيس جي دائري اختيار لاءِ قائم ڪيل بئنچ تي اعتراض,عدالتون,https://dailysobh.com/archives/74452
سنڌ هاءِ ڪورٽ پاران کنڀي گم ڪيل ماڻهن جا سڄاڻپ ڪارڊ بلاڪ ڪرڻ ۽ کين فوري بازياب ڪرائڻ جو حڪم,عدالتون,https://dailysobh.com/archives/74419
لاهور هاءِ ڪورٽ: مولانا سعد رضوي جي نظربندي خلاف سرڪاري وڪيل کي دليل پيش ڪرڻ جي هدايت,عدالتون,https://dailysobh.com/archives/74415
عدالت پاران تيل ۽ گئس ڪمپنين جي فنڊن جي استعمال تي بي اعتمادي,عدالتون,https://dailysobh.com/archives/74385
وفاق پاران سنڌ ۾ آفيسرن جو تعداد وڌائڻ بابت نوٽيفڪيشن معطل,عدالتون,https://dailysobh.com/archives/74272
سنڌ ھاءِ ڪورٽ پاران سئي سدرن گئس ڪمپني رپورٽ تي بي اطميناني,عدالتون,https://dailysobh.com/archives/74262
سپريم ڪورٽ جسٽس قاضي فائز جي پاڻمرادو نوٽيس تي عملدرآمد روڪي ڇڏيو,عدالتون,https://dailysobh.com/archives/74260
سکر: علامه ڊاڪٽر خالد محمود سومرو قتل ڪيس جي ٻڌڻي ملتوي,عدالتون,https://dailysobh.com/archives/73959
صدر مملڪت پاران جسٽس احمد علي شيخ جي سپريم ڪورٽ ۾ ايڊهاڪ جج طور تي مقرريءَ جي منظوري,عدالتون,https://dailysobh.com/archives/73805
جسٽس محمد علي مظهر جو سپريم ڪورٽ ۾ مقرري جو نوٽيفڪيشن جاري,عدالتون,https://dailysobh.com/archives/73637
سنڌ هاءِ ڪورٽ شرجيل ميمڻ کي پر ڏيهه وڃڻ جي اجازت ڏئي ڇڏي,عدالتون,https://dailysobh.com/archives/73543
پيمرا چيئرمين کي لائسنس معطل ڪرڻ جو اختيار غير قانوني قرار,عدالتون,https://dailysobh.com/archives/73525
ڪچو  ڏوهارين کان خالي ڪرائڻ جو حڪم، اڃا ڌاڙيلن مان جان ڇڏائي ناهيون سگهيا: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/73519
سنڌ هاءِ ڪورٽ پوليس مقابلي ڪيس ۾ ٻن جوابدارن جي سزا ختم ڪري ڇڏي,عدالتون,https://dailysobh.com/archives/73431
سنڌ هاءِ ڪورٽ پاران جوابدار خلاف نيب ڪارروائي روڪڻ لاءِ داخل درخواست تي ڌرين کي نوٽيسز جاري,عدالتون,https://dailysobh.com/archives/73428
سپريم ڪورٽ پنهنجن آفيسرن ۽ ملازمن کان آمدني ۽ اثاثن بابت تفصيل طلب ڪري ورتا,عدالتون,https://dailysobh.com/archives/73387
سنڌ هاءِ ڪورٽ ۾ڪي اليڪٽرڪ کان هڪ ڪروڙ 80 لک معاوضي لاءِ درخواست,عدالتون,https://dailysobh.com/archives/73320
نائن زيرو تان مليل هٿيارن جي ڪيس ۾11 ڄڻن جي سزا خلاف اپيل تي نوٽيس,عدالتون,https://dailysobh.com/archives/73318
سنڌ هاءِ ڪورٽ ميونسپل ڪارپوريشن سکر جي 26  ملازمن کي بحال ڪرڻ جو حڪم ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/73252
سنڌ هاءِ ڪورٽ سروس رولز 2006ع تحت ٽيڪنيڪل اسٽاف کي اپ گريڊ ڪري ڇڏيو,عدالتون,https://dailysobh.com/archives/73193
سنڌ هاءِ ڪورٽ جي چيف جسٽس احمد علي شيخ کي سپريم ڪورٽ ۾ايڊهاڪ جج مقرر ڪرڻ جي سفارش,عدالتون,https://dailysobh.com/archives/73162
سنڌ هاءِ ڪورٽ بلديه ڪيس ۾ پراسيڪيوشن تي ڪيترائي سوال اٿاري ڇڏيا، لڳي ٿو ته وڏين مڇين کي بچايو پيو وڃي: عدالت,عدالتون,https://dailysobh.com/archives/73027
ٽڪ ٽاڪ ئي بند ڪرڻو آهي ته پوءِگوگل بند ڪريو: اسلام آباد هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/72748
ٻار کي مذهب جي ڪهڙي خبر، ان تان مندر ڪيرايو ويو پر مسجد ڊاهي وڃي ها ته مسلمانن جو ڪهڙو رد عمل اچي ها؟ سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/72719
ڊي سي ڄامشورو کي هٿڪڙيون لڳائي پيش ڪيو وڃي: سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/72614
سنڌ هاءِ ڪورٽ اي ايس آءِ جي قتل ڪيس ۾نامزد جوابدار جي ضمانت منظور ڪري ورتي آهي,عدالتون,https://dailysobh.com/archives/72607
سنڌ هاءِ ڪورٽ بحريه ٽائون هنگامو ڪيس ۾ وڌيڪ گرفتارين کان روڪي ڇڏيو,عدالتون,https://dailysobh.com/archives/72483
صدر ڊاڪٽر عارف علوي سنڌ ۽ پشاور هاءِ ڪورٽ ۾ ايڊيشنل ججن جي مقرري جي منظوري ڏئي ڇڏي,عدالتون,https://dailysobh.com/archives/71916
لاهور هاءِ ڪورٽ پاران ججن کي سوشل ميڊيا کان پرهيز ڪرڻ جو حڪم,عدالتون,https://dailysobh.com/archives/70430
سوشل ميڊيا تي اعتراض جوڳيون وڊيوز رکندڙن خلاف ڪارروائي جو حڪم,عدالتون,https://dailysobh.com/archives/70307
سنڌ حڪومت پاران سرڪاري ملازمن جي پگھار ۾ واڌ جو نوٽيفڪيشن جاري,عدالتون,https://dailysobh.com/archives/70073
سنڌ هاءِ ڪورٽ سکر سنڌ جي وڏي وزير ۽ ٻين جون بند ڪيل پگھارون جاري ڪرڻ جو حڪم ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/70070
ملازمن کي پڪو نه ٿا ڪري سگهون، اهو حڪومتي ڪم آهي: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/69990
ڊي جي نيب سکر طلب، 18-18 سال ماڻهن کي جيل ۾ رکو ٿا، ثبوت ڪٿي آهن؟: سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/69984
لاهور هائي ڪورٽ جو چيف جسٽس  5 جولاءِ تي پنهنجي عهدي تان رٽائر ٿي ويندو,عدالتون,https://dailysobh.com/archives/69841
سپريم ڪورٽ پاران ساهيوال سانحي تي پنجاب حڪومت کان جواب طلب,عدالتون,https://dailysobh.com/archives/69485
عدالت نيشنل بئنڪ جي صدر کي عهدي تان هٽائڻ جو حڪم ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/69353
هاءِ ڪورٽ پاران اليڪٽرڪ گاڏين لاءِ پاليسي بابت ڪيس جي ٻڌڻي جولاءِ جي ٻئين هفتي تائين ملتوي,عدالتون,https://dailysobh.com/archives/68922
لاهور هاءِ ڪورٽ نامزد چيف جسٽس جي ملتان آمد، ڪيسن جي ٻُڌڻي ۽ وڪيلن سان ملاقات,عدالتون,https://dailysobh.com/archives/68812
هاءِ ڪورٽ 2 ڪينالن تي ٻَڌل گهرن جي مالڪن کي موڪليل لگزري ٽيڪس نوٽيس معطل ڪري ڇڏيا,عدالتون,https://dailysobh.com/archives/68806
ڪراچي ۾آپريشن متاثرن پاران سپريم ڪورٽ کي فيصلي تي نظرثاني درخواست,عدالتون,https://dailysobh.com/archives/68610
سپريم ڪورٽ اسٽيل مل ملازمن جي ترقي واري اپيل رد ڪري ڇڏي,عدالتون,https://dailysobh.com/archives/68362
سپريم ڪورٽ محمود آباد گرڊ اسٽيشن کي غير قانوني قرار ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/68219
